0,0,8,2,2
1,0,8,4,2
2,0,8,1,2
3,0,8,3,2
4,0,8,0,2
5,0,8,0,2
6,0,8,3,2
7,0,8,3,2
8,0,8,2,2
9,0,8,4,2
10,0,8,0,2
11,0,8,1,2
12,0,8,4,2
13,0,8,4,2
14,0,8,1,2
15,0,8,3,2
16,0,8,3,2
17,0,8,4,2
18,0,8,1,2
19,0,8,1,2
20,0,8,0,2
21,0,8,2,2
22,0,8,4,2
23,0,8,3,2
24,0,8,2,2
25,0,8,3,2
26,0,8,0,2
27,0,8,0,2
28,0,8,1,2
29,0,8,4,2
30,0,8,2,2
31,0,8,1,2
32,0,8,3,2
33,0,8,0,2
34,0,8,1,2
35,0,22,8,2
35,1,22,8,2
35,2,22,9,2
35,3,21,4,2
36,3,23,12,2
35,4,20,0,2
36,4,22,0,2
8,5,0,1,5
9,5,0,0,5
10,5,0,1,5
13,5,17,0,2
35,5,9,7,2
36,5,22,2,2
3,6,0,1,5
7,6,0,2,5
8,6,17,0,2
9,6,19,0,2
10,6,22,0,2
11,6,0,1,5
12,6,0,0,5
16,6,25,9,2
35,6,22,1,2
36,6,22,4,2
3,7,22,0,2
5,7,0,0,5
6,7,0,1,5
11,7,22,0,2
12,7,0,0,5
35,7,22,2,2
36,7,22,3,2
3,8,15,0,2
4,8,20,0,2
5,8,22,0,2
6,8,0,0,5
7,8,26,0,2
8,8,26,1,2
9,8,17,1,2
16,8,22,0,2
34,8,10,5,4
36,8,25,9,2
3,9,13,4,2
4,9,15,0,2
6,9,22,0,2
9,9,17,2,2
10,9,21,3,2
11,9,22,4,2
13,9,17,3,2
15,9,22,3,2
16,9,22,2,2
33,9,11,4,4
34,9,10,4,4
3,10,14,1,2
4,10,13,5,2
9,10,23,7,2
10,10,24,7,2
11,10,22,3,2
13,10,17,4,2
15,10,25,9,2
16,10,22,4,2
3,11,13,3,2
4,11,15,2,2
5,11,21,2,2
6,11,22,2,2
11,11,22,4,2
13,11,17,3,2
3,12,15,2,2
5,12,21,1,2
6,12,25,9,2
9,12,17,3,2
10,12,24,9,2
13,12,17,4,2
17,12,8,7,4
9,13,17,4,2
10,13,26,15,2
12,13,0,6,6
13,13,0,4,6
14,13,0,1,5
15,13,0,1,5
16,13,0,1,5
17,13,6,11,4
5,14,22,3,2
7,14,0,8,6
8,14,0,6,6
9,14,0,4,6
10,14,0,2,5
12,14,0,7,6
13,14,0,5,6
14,14,0,1,5
15,14,0,1,5
16,14,0,1,5
17,14,0,1,5
18,14,0,1,5
19,14,0,1,5
2,15,12,6,2
5,15,22,4,2
6,15,0,7,6
7,15,0,9,6
8,15,0,7,6
9,15,0,5,6
11,15,0,1,5
12,15,0,1,5
13,15,0,1,5
14,15,0,1,5
15,15,0,1,5
16,15,0,1,5
17,15,0,1,5
18,15,0,1,5
19,15,0,1,5
20,15,0,1,5
26,15,0,1,5
7,16,0,5,6
10,16,0,1,5
11,16,0,1,5
12,16,0,1,5
13,16,0,1,5
14,16,0,1,5
15,16,0,1,5
27,16,0,1,5
8,17,0,1,5
9,17,0,1,5
10,17,0,1,5
11,17,0,1,5
12,17,0,1,5
13,17,0,1,5
27,17,0,1,5
11,18,0,1,5
12,18,0,1,5
27,18,0,1,5
30,18,10,10,1
31,18,11,10,1
32,18,12,10,1
35,18,7,8,1
36,18,8,8,1
27,19,0,1,5
30,19,10,11,1
31,19,11,11,1
32,19,12,11,1
35,19,7,9,1
36,19,8,9,1
30,20,10,12,1
31,20,11,12,1
32,20,12,12,1
10,21,4,4,2
30,21,10,13,1
31,21,11,13,1
32,21,12,13,1
0,22,22,7,2
1,22,22,7,2
10,22,4,1,2
30,22,10,14,1
31,22,11,14,1
32,22,12,14,1
33,22,0,9,1
34,22,1,9,1
35,22,2,9,1
36,22,3,9,1
37,22,4,9,1
1,23,19,7,2
2,23,20,7,2
3,23,22,7,2
30,23,10,15,1
31,23,11,15,1
32,23,12,15,1
33,23,0,10,1
34,23,1,10,1
35,23,2,10,1
36,23,3,10,1
37,23,4,10,1
4,24,22,7,2
33,24,0,11,1
34,24,1,11,1
35,24,2,11,1
36,24,3,11,1
37,24,4,11,1
2,25,9,20,2
3,25,12,20,2
33,25,0,12,1
34,25,1,12,1
35,25,2,12,1
36,25,3,12,1
37,25,4,12,1
4,26,22,10,2
33,26,0,13,1
34,26,1,13,1
35,26,2,13,1
36,26,3,13,1
37,26,4,13,1
33,27,0,14,1
34,27,1,14,1
35,27,2,14,1
36,27,3,14,1
37,27,4,14,1
33,28,0,15,1
34,28,1,15,1
35,28,2,15,1
36,28,3,15,1
37,28,4,15,1
