0,0,99,2,0
1,0,100,2,0
2,0,100,2,0
3,0,100,2,0
4,0,100,2,0
5,0,100,2,0
6,0,100,2,0
7,0,100,2,0
8,0,100,2,0
9,0,102,2,0
0,1,67,3,0
1,1,78,6,0
2,1,76,7,0
3,1,77,7,0
4,1,75,7,0
5,1,78,6,0
6,1,77,7,0
7,1,76,7,0
8,1,75,7,0
9,1,102,3,0
0,2,67,4,0
1,2,78,8,0
2,2,86,5,0
3,2,87,5,0
4,2,76,8,0
5,2,78,8,0
6,2,75,8,0
7,2,75,8,0
8,2,76,8,0
9,2,102,4,0
0,3,67,5,0
1,3,78,9,0
2,3,86,6,0
3,3,87,6,0
4,3,76,9,0
5,3,78,9,0
6,3,75,9,0
7,3,75,9,0
8,3,75,9,0
9,3,102,5,0
0,4,67,3,0
1,4,89,15,0
2,4,86,7,0
3,4,87,7,0
4,4,64,3,0
5,4,65,3,0
6,4,61,3,0
7,4,62,3,0
8,4,63,3,0
9,4,102,6,0
0,5,67,4,0
1,5,61,3,0
2,5,62,3,0
3,5,62,3,0
4,5,64,3,0
5,5,65,3,0
6,5,63,3,0
7,5,64,3,0
8,5,62,2,0
9,5,102,7,0
0,6,67,5,0
1,6,61,4,0
2,6,62,4,0
3,6,63,4,0
4,6,64,4,0
5,6,65,4,0
6,6,63,4,0
7,6,64,4,0
8,6,62,3,0
9,6,102,6,0
0,7,67,6,0
1,7,61,5,0
2,7,62,5,0
3,7,63,5,0
4,7,64,5,0
5,7,65,5,0
6,7,63,5,0
7,7,64,5,0
8,7,62,2,0
9,7,102,7,0
0,8,67,8,0
1,8,61,6,0
2,8,62,6,0
3,8,63,6,0
4,8,64,6,0
5,8,65,6,0
6,8,63,6,0
7,8,64,6,0
8,8,65,6,0
9,8,102,8,0
0,9,67,9,0
1,9,101,9,0
2,9,101,9,0
3,9,101,9,0
6,9,101,9,0
7,9,101,9,0
8,9,101,9,0
9,9,102,9,0
