5,1,82,18
6,1,82,18
10,1,42,14
11,1,37,14
13,1,6,0
5,2,82,19
6,2,82,19
7,2,17,12
8,2,16,12
9,2,17,12
13,2,6,1
5,3,82,20
6,3,82,20
7,3,17,13
8,3,16,13
9,3,17,13
13,3,6,2
13,4,22,27
9,6,45,19
10,6,46,19
11,6,47,19
9,7,45,20
10,7,46,20
11,7,47,20
1,8,28,0
2,8,29,0
3,8,10,22
4,8,11,22
5,8,29,0
6,8,28,0
9,8,45,21
10,8,39,28
11,8,47,21
12,8,46,15
13,8,45,15
14,8,21,14
1,9,28,1
2,9,29,1
3,9,10,23
4,9,11,23
5,9,29,1
6,9,28,1
11,9,46,25
12,9,46,16
13,9,45,16
14,9,21,15
1,10,28,2
2,10,29,2
5,10,29,2
6,10,28,2
11,10,46,25
12,10,46,25
13,10,21,16
14,10,21,16
