34,0,45,18
35,0,46,18
36,0,47,18
37,0,48,18
38,0,49,18
42,0,31,6
43,0,32,6
14,1,32,1
15,1,33,1
16,1,34,1
17,1,35,1
18,1,36,1
19,1,37,1
20,1,38,1
34,1,45,19
35,1,46,19
36,1,47,19
37,1,48,19
38,1,49,19
42,1,31,7
43,1,32,7
14,2,32,2
15,2,33,2
16,2,34,2
17,2,35,2
18,2,36,2
19,2,37,2
20,2,38,2
31,2,25,18
32,2,26,18
42,2,31,8
43,2,32,8
14,3,32,3
15,3,33,3
16,3,34,3
17,3,35,3
18,3,36,3
19,3,37,3
20,3,38,3
31,3,25,19
32,3,26,19
42,3,68,11
43,3,69,11
44,3,70,11
14,4,32,4
15,4,33,4
16,4,34,4
17,4,35,4
18,4,36,4
19,4,37,4
20,4,38,4
42,4,68,12
43,4,69,12
44,4,70,12
7,5,43,4
8,5,42,4
10,5,39,2
11,5,40,2
12,5,41,2
15,5,33,5
16,5,34,5
17,5,35,5
18,5,36,5
19,5,37,5
20,5,38,5
7,6,43,5
8,6,42,5
10,6,39,3
11,6,40,3
12,6,41,3
15,6,33,6
16,6,34,6
17,6,35,6
18,6,36,6
19,6,37,6
20,6,38,6
7,7,43,6
8,7,42,6
10,7,39,4
11,7,40,4
12,7,41,4
15,7,33,7
16,7,34,7
17,7,35,7
18,7,36,7
19,7,37,7
20,7,38,7
7,8,43,7
8,8,42,7
10,8,39,5
11,8,40,5
12,8,41,5
15,8,33,8
16,8,34,8
17,8,35,8
18,8,36,8
19,8,37,8
20,8,38,8
40,8,21,1
41,8,22,1
42,8,23,1
43,8,24,1
7,9,43,8
8,9,42,8
10,9,39,6
11,9,40,6
12,9,41,6
40,9,21,2
41,9,22,2
42,9,23,2
43,9,24,2
10,10,39,7
11,10,40,7
12,10,41,7
29,10,42,4
30,10,43,4
40,10,21,3
41,10,22,3
42,10,23,3
43,10,24,3
10,11,39,8
11,11,40,8
12,11,41,8
29,11,42,5
30,11,43,5
40,11,21,4
41,11,22,4
42,11,23,4
43,11,24,4
29,12,42,6
30,12,43,6
40,12,21,5
41,12,22,5
42,12,23,5
43,12,24,5
29,13,42,7
30,13,43,7
40,13,21,6
41,13,22,6
42,13,23,6
43,13,24,6
29,14,42,8
30,14,43,8
40,14,21,7
41,14,22,7
42,14,23,7
43,14,24,7
40,15,21,8
41,15,22,8
42,15,23,8
43,15,24,8
3,25,25,18
4,25,26,18
3,26,25,19
4,26,26,19
