1,0,35,42,0,0
2,0,34,42,0,0
26,0,1,38,0,0
27,0,9,49,0,0
28,0,3,38,0,0
1,1,35,41,0,0
2,1,34,41,0,0
17,1,35,42,0,0
18,1,34,42,0,0
26,1,1,38,0,0
27,1,9,49,0,0
28,1,3,38,0,0
17,2,35,41,0,0
18,2,34,41,0,0
26,2,1,38,0,0
27,2,7,49,0,0
28,2,3,38,0,0
9,3,35,42,0,0
10,3,34,42,0,0
24,3,35,42,0,0
25,3,34,42,0,0
26,3,1,38,0,0
27,3,9,49,0,0
28,3,3,38,0,0
9,4,35,41,0,0
10,4,34,41,0,0
24,4,35,41,0,0
25,4,34,41,0,0
26,4,1,39,0,0
27,4,4,38,0,0
28,4,5,37,0,0
29,4,3,37,0,0
6,5,35,42,0,0
7,5,34,42,0,0
27,5,1,39,0,0
28,5,4,38,0,0
29,5,5,37,0,0
30,5,2,37,0,0
31,5,3,37,0,0
6,6,35,41,0,0
7,6,34,41,0,0
28,6,1,39,0,0
29,6,2,39,0,0
30,6,4,38,0,0
31,6,5,37,0,0
32,6,3,37,0,0
9,7,35,42,0,0
10,7,34,42,0,0
14,7,35,42,0,0
15,7,34,42,0,0
21,7,35,42,0,0
22,7,34,42,0,0
30,7,1,39,0,0
31,7,4,38,0,0
32,7,5,37,0,0
33,7,3,37,0,0
9,8,35,41,0,0
10,8,34,41,0,0
14,8,35,41,0,0
15,8,34,41,0,0
21,8,35,41,0,0
22,8,34,41,0,0
31,8,1,39,0,0
32,8,4,38,0,0
33,8,5,37,0,0
34,8,2,37,0,0
35,8,3,37,0,0
11,9,35,42,0,0
12,9,34,42,0,0
26,9,35,42,0,0
27,9,34,42,0,0
32,9,1,39,0,0
33,9,2,39,0,0
34,9,4,38,0,0
35,9,5,37,0,0
36,9,3,37,0,0
11,10,35,41,0,0
12,10,34,41,0,0
13,10,35,42,0,0
14,10,34,42,0,0
26,10,35,41,0,0
27,10,34,41,0,0
32,10,35,42,0,0
33,10,34,42,0,0
34,10,1,39,0,0
35,10,4,38,0,0
36,10,5,37,0,0
37,10,3,37,0,0
8,11,35,42,0,0
9,11,32,43,0,0
10,11,32,43,0,0
11,11,32,43,0,0
12,11,32,43,0,0
13,11,33,43,0,0
14,11,31,42,0,0
32,11,35,41,0,0
33,11,34,41,0,0
35,11,1,39,0,0
36,11,4,38,0,0
37,11,3,38,0,0
8,12,33,42,0,0
9,12,31,41,0,0
10,12,32,41,0,0
11,12,32,41,0,0
12,12,32,41,0,0
13,12,32,41,0,0
14,12,34,41,0,0
36,12,1,38,0,0
37,12,5,37,0,0
38,12,3,37,0,0
0,13,35,42,0,0
1,13,34,42,0,0
8,13,35,41,0,0
9,13,34,41,0,0
36,13,1,39,0,0
37,13,4,38,0,0
38,13,3,38,0,0
0,14,35,41,0,0
1,14,34,41,0,0
37,14,1,38,0,0
38,14,3,38,0,0
4,15,21,46,0,0
5,15,17,47,0,0
6,15,19,47,0,0
7,15,20,46,0,0
8,15,21,45,0,0
9,15,20,47,0,0
10,15,21,47,0,0
32,15,35,42,0,0
33,15,34,42,0,0
37,15,1,38,0,0
38,15,3,38,0,0
0,16,20,47,0,0
1,16,18,47,0,0
2,16,18,47,0,0
3,16,21,47,0,0
4,16,19,46,0,0
5,16,23,47,0,0
6,16,24,45,0,0
7,16,17,47,0,0
8,16,18,47,0,0
9,16,19,47,0,0
10,16,17,47,0,0
11,16,21,47,0,0
12,16,21,46,0,0
13,16,17,46,0,0
22,16,35,42,0,0
23,16,34,42,0,0
32,16,35,41,0,0
33,16,34,41,0,0
37,16,1,39,0,0
38,16,3,39,0,0
0,17,19,47,0,0
1,17,23,46,0,0
2,17,24,46,0,0
3,17,17,47,0,0
4,17,19,47,0,0
5,17,23,47,0,0
6,17,24,45,0,0
7,17,23,45,0,0
8,17,24,46,0,0
9,17,24,47,0,0
10,17,24,46,0,0
11,17,17,46,0,0
12,17,21,45,0,0
13,17,20,47,0,0
14,17,19,47,0,0
22,17,35,41,0,0
23,17,34,41,0,0
0,18,19,45,0,0
1,18,23,45,0,0
2,18,23,45,0,0
3,18,24,46,0,0
4,18,24,45,0,0
5,18,24,46,0,0
6,18,23,47,0,0
7,18,24,47,0,0
8,18,24,47,0,0
9,18,23,45,0,0
10,18,24,45,0,0
11,18,17,47,0,0
12,18,18,47,0,0
13,18,19,47,0,0
14,18,24,45,0,0
15,18,17,46,0,0
26,18,21,47,0,0
27,18,21,46,0,0
28,18,20,46,0,0
34,18,21,45,0,0
35,18,20,47,0,0
36,18,21,47,0,0
37,18,20,47,0,0
38,18,21,47,0,0
40,18,21,46,0,0
41,18,17,46,0,0
42,18,21,45,0,0
43,18,20,47,0,0
44,18,21,47,0,0
0,19,19,46,0,0
1,19,17,45,0,0
2,19,18,45,0,0
3,19,18,45,0,0
4,19,18,45,0,0
5,19,18,45,0,0
6,19,18,45,0,0
7,19,18,45,0,0
8,19,18,45,0,0
9,19,18,45,0,0
10,19,19,45,0,0
11,19,24,46,0,0
12,19,23,45,0,0
13,19,23,47,0,0
14,19,23,45,0,0
15,19,17,47,0,0
16,19,18,47,0,0
17,19,18,47,0,0
18,19,18,47,0,0
19,19,18,47,0,0
20,19,18,47,0,0
21,19,18,47,0,0
22,19,18,47,0,0
23,19,18,47,0,0
24,19,18,47,0,0
25,19,19,47,0,0
26,19,17,47,0,0
27,19,19,47,0,0
28,19,17,47,0,0
29,19,18,47,0,0
30,19,18,47,0,0
31,19,18,47,0,0
32,19,18,47,0,0
33,19,18,47,0,0
34,19,18,47,0,0
35,19,19,47,0,0
36,19,17,46,0,0
37,19,21,45,0,0
38,19,20,47,0,0
39,19,21,47,0,0
40,19,21,46,0,0
41,19,17,47,0,0
42,19,21,47,0,0
43,19,21,45,0,0
44,19,20,47,0,0
0,20,21,45,0,0
1,20,17,47,0,0
2,20,19,47,0,0
10,20,21,45,0,0
11,20,18,45,0,0
12,20,18,45,0,0
13,20,19,45,0,0
14,20,24,46,0,0
15,20,17,45,0,0
16,20,19,45,0,0
17,20,23,46,0,0
18,20,24,45,0,0
19,20,23,47,0,0
20,20,24,45,0,0
21,20,24,46,0,0
22,20,24,45,0,0
23,20,24,47,0,0
24,20,23,45,0,0
25,20,23,46,0,0
26,20,24,46,0,0
27,20,24,45,0,0
28,20,17,45,0,0
29,20,18,45,0,0
30,20,18,45,0,0
31,20,18,45,0,0
32,20,18,45,0,0
33,20,18,45,0,0
34,20,18,45,0,0
35,20,18,45,0,0
36,20,20,47,0,0
37,20,18,47,0,0
38,20,19,47,0,0
39,20,17,47,0,0
40,20,19,47,0,0
41,20,24,47,0,0
42,20,17,47,0,0
43,20,18,47,0,0
44,20,19,47,0,0
1,21,58,79,0,0
2,21,59,79,0,0
9,21,58,79,0,0
10,21,59,79,0,0
13,21,21,45,0,0
14,21,18,45,0,0
15,21,20,45,0,0
16,21,19,46,0,0
17,21,23,45,0,0
18,21,24,47,0,0
19,21,23,45,0,0
20,21,23,47,0,0
21,21,24,46,0,0
22,21,24,45,0,0
23,21,24,46,0,0
24,21,23,46,0,0
25,21,24,46,0,0
26,21,23,46,0,0
27,21,23,47,0,0
28,21,17,47,0,0
29,21,18,47,0,0
30,21,18,47,0,0
31,21,18,47,0,0
32,21,18,47,0,0
33,21,18,47,0,0
34,21,18,47,0,0
35,21,18,47,0,0
36,21,19,47,0,0
37,21,24,47,0,0
38,21,23,45,0,0
39,21,24,46,0,0
40,21,24,47,0,0
41,21,24,47,0,0
42,21,24,45,0,0
43,21,23,46,0,0
44,21,24,46,0,0
1,22,58,80,0,0
2,22,59,80,0,0
9,22,58,80,0,0
10,22,59,80,0,0
16,22,21,45,0,0
17,22,18,45,0,0
18,22,18,45,0,0
19,22,18,45,0,0
20,22,18,45,0,0
21,22,18,45,0,0
22,22,18,45,0,0
23,22,18,45,0,0
24,22,18,45,0,0
25,22,18,45,0,0
26,22,18,45,0,0
27,22,18,45,0,0
28,22,18,45,0,0
29,22,18,45,0,0
30,22,18,45,0,0
31,22,18,45,0,0
32,22,18,45,0,0
33,22,18,45,0,0
34,22,18,45,0,0
35,22,18,45,0,0
36,22,18,45,0,0
37,22,18,45,0,0
38,22,18,45,0,0
39,22,18,45,0,0
40,22,18,45,0,0
41,22,18,45,0,0
42,22,18,45,0,0
43,22,18,45,0,0
44,22,18,45,0,0
1,23,58,81,0,0
2,23,59,81,0,0
9,23,58,81,0,0
10,23,59,81,0,0
1,24,58,82,0,0
2,24,59,82,0,0
5,24,1,37,0,0
6,24,3,37,0,0
